Unique index,Supercell,Ratio,Configuration,Multiplicity,Free Energy / kJ/mol,Enthalpy per atom / kJ/mol,Entropy per atom / kJ/mol,Volume/A^3,N atoms,Density/g/mol^3,Spacegroup,Group indices
0,1x1x1,[6 0],"(0, 0, 0, 0, 0, 0)",1,,,,4166.314732893454,468.0,1.0392714447160196,P3_221 (154),[0]
1,1x1x1,[5 1],"(0, 0, 0, 0, 0, 1)",2,,,,4166.314732893454,468.0,1.0392714447160196,P1 (1),"[1, 8]"
2,1x1x1,[5 1],"(0, 0, 0, 0, 1, 0)",2,,,,4166.314732893454,468.0,1.03927144471602,P1 (1),"[2, 32]"
3,1x1x1,[4 2],"(0, 0, 0, 0, 1, 1)",2,,,,4166.314732893454,468.0,1.0392714447160196,P1 (1),"[3, 40]"
4,1x1x1,[5 1],"(0, 0, 0, 1, 0, 0)",2,,,,4166.314732893454,468.0,1.0392714447160198,P1 (1),"[4, 16]"
5,1x1x1,[4 2],"(0, 0, 0, 1, 0, 1)",3,,,,4166.314732893454,468.0,1.0392714447160196,P1 (1),"[5, 6, 24]"
6,1x1x1,[3 3],"(0, 0, 0, 1, 1, 1)",2,,,,4166.314732893454,468.0,1.0392714447160196,P3_2 (145),"[7, 56]"
7,1x1x1,[4 2],"(0, 0, 1, 0, 0, 1)",1,,,,4166.314732893454,468.0,1.0392714447160196,C2 (5),[9]
8,1x1x1,[4 2],"(0, 0, 1, 0, 1, 0)",1,,,,4166.314732893454,468.0,1.0392714447160196,C2 (5),[10]
9,1x1x1,[3 3],"(0, 0, 1, 0, 1, 1)",2,,,,4166.314732893454,468.0,1.0392714447160196,P1 (1),"[11, 42]"
10,1x1x1,[4 2],"(0, 0, 1, 1, 0, 0)",2,,,,4166.314732893454,468.0,1.0392714447160196,C2 (5),"[12, 18]"
11,1x1x1,[3 3],"(0, 0, 1, 1, 0, 1)",3,,,,4166.314732893454,468.0,1.0392714447160196,P1 (1),"[13, 22, 28]"
12,1x1x1,[3 3],"(0, 0, 1, 1, 1, 0)",6,,,,4166.314732893454,468.0,1.0392714447160196,P1 (1),"[14, 19, 26, 37, 44, 49]"
13,1x1x1,[2 4],"(0, 0, 1, 1, 1, 1)",6,,,,4166.314732893454,468.0,1.0392714447160196,P1 (1),"[15, 23, 39, 57, 58, 60]"
14,1x1x1,[4 2],"(0, 1, 0, 0, 0, 1)",2,,,,4166.314732893454,468.0,1.0392714447160196,C2 (5),"[17, 36]"
15,1x1x1,[4 2],"(0, 1, 0, 1, 0, 0)",1,,,,4166.314732893454,468.0,1.0392714447160198,C2 (5),[20]
16,1x1x1,[3 3],"(0, 1, 0, 1, 0, 1)",3,,,,4166.314732893454,468.0,1.0392714447160196,P1 (1),"[21, 25, 38]"
17,1x1x1,[2 4],"(0, 1, 1, 0, 1, 1)",3,,,,4166.314732893454,468.0,1.0392714447160196,C2 (5),"[27, 46, 53]"
18,1x1x1,[2 4],"(0, 1, 1, 1, 0, 1)",2,,,,4166.314732893454,468.0,1.0392714447160196,C2 (5),"[29, 54]"
19,1x1x1,[2 4],"(0, 1, 1, 1, 1, 0)",3,,,,4166.314732893454,468.0,1.0392714447160196,C2 (5),"[30, 45, 51]"
20,1x1x1,[1 5],"(0, 1, 1, 1, 1, 1)",6,,,,4166.314732893454,468.0,1.0392714447160196,P1 (1),"[31, 47, 55, 59, 61, 62]"
21,1x1x1,[4 2],"(1, 0, 0, 0, 0, 1)",1,,,,4166.314732893454,468.0,1.0392714447160196,C2 (5),[33]
22,1x1x1,[4 2],"(1, 0, 0, 0, 1, 0)",1,,,,4166.314732893454,468.0,1.03927144471602,C2 (5),[34]
23,1x1x1,[3 3],"(1, 0, 0, 0, 1, 1)",2,,,,4166.314732893454,468.0,1.0392714447160196,P1 (1),"[35, 41]"
24,1x1x1,[2 4],"(1, 0, 1, 0, 1, 1)",1,,,,4166.314732893454,468.0,1.0392714447160196,C2 (5),[43]
25,1x1x1,[4 2],"(1, 1, 0, 0, 0, 0)",1,,,,4166.314732893454,468.0,1.0392714447160196,P1 (1),[48]
26,1x1x1,[3 3],"(1, 1, 0, 0, 1, 0)",1,,,,4166.314732893454,468.0,1.0392714447160196,P1 (1),[50]
27,1x1x1,[3 3],"(1, 1, 0, 1, 0, 0)",1,,,,4166.314732893454,468.0,1.0392714447160196,P1 (1),[52]
28,1x1x1,[0 6],"(1, 1, 1, 1, 1, 1)",1,,,,4166.314732893454,468.0,1.0392714447160196,P3_221 (154),[63]
