Unique index,Multiplicity,Configuration,Ratio,Supercell,Free Energy / kJ/mol,Enthalpy per atom / kJ/mol,Entropy per atom / kJ/mol,Volume/A^3,N atoms,Density/g/mol^3
0,1,"(0, 0, 0, 0)",[4 0],1x1x1,,,,1031.314680509039,120,1.3219525259353389
1,1,"(0, 0, 0, 1)",[3 1],1x1x1,,,,1031.314680509039,120,1.3219525259353389
2,1,"(0, 0, 1, 0)",[3 1],1x1x1,,,,1031.314680509039,120,1.3219525259353389
3,1,"(0, 0, 1, 1)",[2 2],1x1x1,,,,1031.314680509039,120,1.3219525259353389
4,1,"(0, 1, 0, 0)",[3 1],1x1x1,,,,1031.314680509039,120,1.3219525259353389
5,1,"(0, 1, 0, 1)",[2 2],1x1x1,,,,1031.314680509039,120,1.3219525259353389
6,1,"(0, 1, 1, 0)",[2 2],1x1x1,,,,1031.314680509039,120,1.3219525259353389
7,1,"(0, 1, 1, 1)",[1 3],1x1x1,,,,1031.314680509039,120,1.3219525259353389
8,1,"(1, 0, 0, 0)",[3 1],1x1x1,,,,1031.314680509039,120,1.3219525259353389
9,1,"(1, 0, 0, 1)",[2 2],1x1x1,,,,1031.314680509039,120,1.3219525259353389
10,1,"(1, 0, 1, 0)",[2 2],1x1x1,,,,1031.314680509039,120,1.3219525259353389
11,1,"(1, 0, 1, 1)",[1 3],1x1x1,,,,1031.314680509039,120,1.3219525259353389
12,1,"(1, 1, 0, 0)",[2 2],1x1x1,,,,1031.314680509039,120,1.3219525259353389
13,1,"(1, 1, 0, 1)",[1 3],1x1x1,,,,1031.314680509039,120,1.3219525259353389
14,1,"(1, 1, 1, 0)",[1 3],1x1x1,,,,1031.314680509039,120,1.3219525259353389
15,1,"(1, 1, 1, 1)",[0 4],1x1x1,,,,1031.314680509039,120,1.3219525259353389
