Unique index,Multiplicity,Configuration,Ratio,Supercell,Free Energy / kJ/mol,Enthalpy per atom / kJ/mol,Entropy per atom / kJ/mol,Volume/A^3,N atoms,Density/g/mol^3
0,1e+00,[0 0 0 0],[4 0],1x1x1,,,,2654.1751062921485,288,1.5377303803202584
1,1.0,[0 0 0 1],[3 1],1x1x1,,,,2654.1751062921485,288,1.5377303803202584
2,1.0,[0 0 1 0],[3 1],1x1x1,,,,2654.1751062921485,288,1.5377303803202589
3,1.0,[0 0 1 1],[2 2],1x1x1,,,,2654.1751062921485,288,1.5377303803202589
4,1.0,[0 1 0 0],[3 1],1x1x1,,,,2654.1751062921485,288,1.5377303803202584
5,1.0,[0 1 0 1],[2 2],1x1x1,,,,2654.1751062921485,288,1.5377303803202584
6,1.0,[0 1 1 0],[2 2],1x1x1,,,,2654.1751062921485,288,1.5377303803202589
7,1.0,[0 1 1 1],[1 3],1x1x1,,,,2654.1751062921485,288,1.5377303803202589
8,1.0,[1 0 0 0],[3 1],1x1x1,,,,2654.1751062921485,288,1.5377303803202584
9,1.0,[1 0 0 1],[2 2],1x1x1,,,,2654.1751062921485,288,1.5377303803202584
10,1.0,[1 0 1 0],[2 2],1x1x1,,,,2654.1751062921485,288,1.5377303803202589
11,1.0,[1 0 1 1],[1 3],1x1x1,,,,2654.1751062921485,288,1.5377303803202589
12,1.0,[1 1 0 0],[2 2],1x1x1,,,,2654.1751062921485,288,1.5377303803202584
13,1.0,[1 1 0 1],[1 3],1x1x1,,,,2654.1751062921485,288,1.5377303803202584
14,1.0,[1 1 1 0],[1 3],1x1x1,,,,2654.1751062921485,288,1.5377303803202589
15,1.0,[1 1 1 1],[0 4],1x1x1,,,,2654.1751062921485,288,1.5377303803202589
