Unique index,Multiplicity,Configuration,Ratio,Supercell,Free Energy / kJ/mol,Enthalpy per atom / kJ/mol,Entropy per atom / kJ/mol,Volume/A^3,N atoms,Density/g/mol^3
0,1e+00,[0 0 0 0 0 0],[6 0],1x1x1,,,,4166.314732893454,468,1.0392714447160196
1,1.0,[0 0 0 0 0 1],[5 1],1x1x1,,,,4166.314732893454,468,1.0392714447160196
2,1.0,[0 0 0 0 1 0],[5 1],1x1x1,,,,4166.314732893454,468,1.03927144471602
3,1.0,[0 0 0 0 1 1],[4 2],1x1x1,,,,4166.314732893454,468,1.0392714447160196
4,1.0,[0 0 0 1 0 0],[5 1],1x1x1,,,,4166.314732893454,468,1.0392714447160198
5,1.0,[0 0 0 1 0 1],[4 2],1x1x1,,,,4166.314732893454,468,1.0392714447160196
6,1.0,[0 0 0 1 1 0],[4 2],1x1x1,,,,4166.314732893454,468,1.0392714447160196
7,1.0,[0 0 0 1 1 1],[3 3],1x1x1,,,,4166.314732893454,468,1.0392714447160196
8,1.0,[0 0 1 0 0 0],[5 1],1x1x1,,,,4166.314732893454,468,1.0392714447160196
9,1.0,[0 0 1 0 0 1],[4 2],1x1x1,,,,4166.314732893454,468,1.0392714447160196
10,1.0,[0 0 1 0 1 0],[4 2],1x1x1,,,,4166.314732893454,468,1.0392714447160196
11,1.0,[0 0 1 0 1 1],[3 3],1x1x1,,,,4166.314732893454,468,1.0392714447160196
12,1.0,[0 0 1 1 0 0],[4 2],1x1x1,,,,4166.314732893454,468,1.0392714447160196
13,1.0,[0 0 1 1 0 1],[3 3],1x1x1,,,,4166.314732893454,468,1.0392714447160196
14,1.0,[0 0 1 1 1 0],[3 3],1x1x1,,,,4166.314732893454,468,1.0392714447160196
15,1.0,[0 0 1 1 1 1],[2 4],1x1x1,,,,4166.314732893454,468,1.0392714447160196
16,1.0,[0 1 0 0 0 0],[5 1],1x1x1,,,,4166.314732893454,468,1.0392714447160198
17,1.0,[0 1 0 0 0 1],[4 2],1x1x1,,,,4166.314732893454,468,1.0392714447160196
18,1.0,[0 1 0 0 1 0],[4 2],1x1x1,,,,4166.314732893454,468,1.0392714447160196
19,1.0,[0 1 0 0 1 1],[3 3],1x1x1,,,,4166.314732893454,468,1.0392714447160196
20,1.0,[0 1 0 1 0 0],[4 2],1x1x1,,,,4166.314732893454,468,1.0392714447160198
21,1.0,[0 1 0 1 0 1],[3 3],1x1x1,,,,4166.314732893454,468,1.0392714447160196
22,1.0,[0 1 0 1 1 0],[3 3],1x1x1,,,,4166.314732893454,468,1.0392714447160196
23,1.0,[0 1 0 1 1 1],[2 4],1x1x1,,,,4166.314732893454,468,1.0392714447160196
24,1.0,[0 1 1 0 0 0],[4 2],1x1x1,,,,4166.314732893454,468,1.0392714447160196
25,1.0,[0 1 1 0 0 1],[3 3],1x1x1,,,,4166.314732893454,468,1.0392714447160196
26,1.0,[0 1 1 0 1 0],[3 3],1x1x1,,,,4166.314732893454,468,1.0392714447160196
27,1.0,[0 1 1 0 1 1],[2 4],1x1x1,,,,4166.314732893454,468,1.0392714447160196
28,1.0,[0 1 1 1 0 0],[3 3],1x1x1,,,,4166.314732893454,468,1.0392714447160196
29,1.0,[0 1 1 1 0 1],[2 4],1x1x1,,,,4166.314732893454,468,1.0392714447160196
30,1.0,[0 1 1 1 1 0],[2 4],1x1x1,,,,4166.314732893454,468,1.0392714447160196
31,1.0,[0 1 1 1 1 1],[1 5],1x1x1,,,,4166.314732893454,468,1.0392714447160196
32,1.0,[1 0 0 0 0 0],[5 1],1x1x1,,,,4166.314732893454,468,1.03927144471602
33,1.0,[1 0 0 0 0 1],[4 2],1x1x1,,,,4166.314732893454,468,1.0392714447160196
34,1.0,[1 0 0 0 1 0],[4 2],1x1x1,,,,4166.314732893454,468,1.03927144471602
35,1.0,[1 0 0 0 1 1],[3 3],1x1x1,,,,4166.314732893454,468,1.0392714447160196
36,1.0,[1 0 0 1 0 0],[4 2],1x1x1,,,,4166.314732893454,468,1.0392714447160196
37,1.0,[1 0 0 1 0 1],[3 3],1x1x1,,,,4166.314732893454,468,1.0392714447160196
38,1.0,[1 0 0 1 1 0],[3 3],1x1x1,,,,4166.314732893454,468,1.0392714447160196
39,1.0,[1 0 0 1 1 1],[2 4],1x1x1,,,,4166.314732893454,468,1.0392714447160196
40,1.0,[1 0 1 0 0 0],[4 2],1x1x1,,,,4166.314732893454,468,1.0392714447160196
41,1.0,[1 0 1 0 0 1],[3 3],1x1x1,,,,4166.314732893454,468,1.0392714447160196
42,1.0,[1 0 1 0 1 0],[3 3],1x1x1,,,,4166.314732893454,468,1.0392714447160196
43,1.0,[1 0 1 0 1 1],[2 4],1x1x1,,,,4166.314732893454,468,1.0392714447160196
44,1.0,[1 0 1 1 0 0],[3 3],1x1x1,,,,4166.314732893454,468,1.0392714447160196
45,1.0,[1 0 1 1 0 1],[2 4],1x1x1,,,,4166.314732893454,468,1.0392714447160196
46,1.0,[1 0 1 1 1 0],[2 4],1x1x1,,,,4166.314732893454,468,1.0392714447160196
47,1.0,[1 0 1 1 1 1],[1 5],1x1x1,,,,4166.314732893454,468,1.0392714447160196
48,1.0,[1 1 0 0 0 0],[4 2],1x1x1,,,,4166.314732893454,468,1.0392714447160196
49,1.0,[1 1 0 0 0 1],[3 3],1x1x1,,,,4166.314732893454,468,1.0392714447160196
50,1.0,[1 1 0 0 1 0],[3 3],1x1x1,,,,4166.314732893454,468,1.0392714447160196
51,1.0,[1 1 0 0 1 1],[2 4],1x1x1,,,,4166.314732893454,468,1.0392714447160196
52,1.0,[1 1 0 1 0 0],[3 3],1x1x1,,,,4166.314732893454,468,1.0392714447160196
53,1.0,[1 1 0 1 0 1],[2 4],1x1x1,,,,4166.314732893454,468,1.0392714447160196
54,1.0,[1 1 0 1 1 0],[2 4],1x1x1,,,,4166.314732893454,468,1.0392714447160196
55,1.0,[1 1 0 1 1 1],[1 5],1x1x1,,,,4166.314732893454,468,1.0392714447160196
56,1.0,[1 1 1 0 0 0],[3 3],1x1x1,,,,4166.314732893454,468,1.0392714447160196
57,1.0,[1 1 1 0 0 1],[2 4],1x1x1,,,,4166.314732893454,468,1.0392714447160196
58,1.0,[1 1 1 0 1 0],[2 4],1x1x1,,,,4166.314732893454,468,1.0392714447160196
