Unique index,Multiplicity,Free Energy / kJ/mol,Enthalpy per atom / kJ/mol,Entropy per atom / kJ/mol,Volume/A^3,N atoms,Density/g/mol^3,Spacegroup,Group indices
0,1,,,,4.166314732893454e+03,468.0,1.0392714447160196,P3_221 (154),[0]
1,6,,,,4166.314732893454,468.0,1.0392714447160198,P1 (1),"[1, 2, 4, 8, 16, 32]"
2,6,,,,4166.314732893454,468.0,1.0392714447160196,P1 (1),"[3, 5, 6, 24, 40, 48]"
3,2,,,,4166.314732893454,468.0,1.0392714447160196,P3_2 (145),"[7, 56]"
4,3,,,,4166.314732893454,468.0,1.0392714447160198,C2 (5),"[9, 20, 34]"
5,3,,,,4166.314732893454,468.0,1.0392714447160196,C2 (5),"[10, 17, 36]"
6,6,,,,4166.314732893454,468.0,1.0392714447160196,P1 (1),"[11, 21, 25, 38, 42, 52]"
7,3,,,,4166.314732893454,468.0,1.0392714447160196,C2 (5),"[12, 18, 33]"
8,6,,,,4166.314732893454,468.0,1.0392714447160196,P1 (1),"[13, 22, 28, 35, 41, 50]"
9,6,,,,4166.314732893454,468.0,1.0392714447160196,P1 (1),"[14, 19, 26, 37, 44, 49]"
10,6,,,,4166.314732893454,468.0,1.0392714447160196,P1 (1),"[15, 23, 39, 57, 58, 60]"
11,3,,,,4166.314732893454,468.0,1.0392714447160196,C2 (5),"[27, 46, 53]"
12,3,,,,4166.314732893454,468.0,1.0392714447160196,C2 (5),"[29, 43, 54]"
13,3,,,,4166.314732893454,468.0,1.0392714447160196,C2 (5),"[30, 45, 51]"
14,6,,,,4166.314732893454,468.0,1.0392714447160196,P1 (1),"[31, 47, 55, 59, 61, 62]"
15,1,,,,4166.314732893454,468.0,1.0392714447160196,P3_221 (154),[63]
